rule_id,action_date,action_time,adset_id,account_id,old_budget,new_budget,response,spend_at_action,today_roi_at_action,last_3_days_spend_at_action,last_3_days_roi_at_action,budget_ratio,window_days,forgone_profit
R02,2026-06-12,2026-06-12 18:00:05+03:00,31626016833981,9913405683583663,66.0019,39.5986,SUCCESS,19.4183,-0.12,203.7461,-0.11,0.6667735728030793,0,0.0
R02,2026-06-12,2026-06-12 06:00:06+03:00,31243712380589,9913405683583663,6.35,12.7,SUCCESS,3.4417,-0.21,17.3101,0.28,-0.5,0,0.0
R02,2026-06-11,2026-06-11 14:30:04+03:00,31273956645572,9913405683583663,8.001,13.6017,SUCCESS,8.5471,-0.14,30.9499,0.07,-0.4117647058823529,1,-2.536264705882353
R02,2026-06-11,2026-06-11 08:30:07+03:00,31191755212537,9913405683583663,7.62,12.7,SUCCESS,22.479,-0.2,173.355,0.19,-0.3999999999999999,0,0.0
R07,2026-06-11,2026-06-11 05:30:03+03:00,31626016833981,9913405683583663,82.5119,66.0019,SUCCESS,15.4305,-0.51,234.1245,-0.1,0.2501443140273234,0,0.0
R02,2026-06-10,2026-06-10 22:30:05+03:00,31626016833981,9913405683583663,103.1367,82.5119,SUCCESS,58.8264,-0.1,283.5275,-0.05,0.2499615207018624,0,0.0
R10,2026-06-08,2026-06-08 05:00:05+03:00,31302925337341,9913405683583663,213.8934,254.0,SUCCESS,70.4469,-0.04,741.2101,0.25,-0.15789999999999993,4,-6.697802199999997
R10,2026-06-07,2026-06-07 08:30:07+03:00,31302925337341,9913405683583663,262.128,314.5536,SUCCESS,109.1438,0.04,563.2323,0.49,-0.16666666666666674,0,0.0
R12,2026-06-07,2026-06-07 07:30:07+03:00,31808893639076,9913405683583663,6.35,12.7,SUCCESS,3.8989,-0.59,11.5824,0.24,-0.5,5,0.5461
R12,2026-06-07,2026-06-07 06:30:05+03:00,31273956645572,9913405683583663,12.7,19.05,SUCCESS,6.1595,-0.6,21.4757,0.69,-0.33333333333333337,3,-0.6561666666666668
R02,2026-06-07,2026-06-07 05:30:11+03:00,31626016833981,9913405683583663,107.442,128.9304,SUCCESS,36.1188,-0.16,240.0681,0.45,-0.16666666666666663,2,2.341033333333333
R12,2026-06-06,2026-06-06 07:30:07+03:00,31196781349398,9913405683583663,3.81,16.51,SUCCESS,4.4196,-0.69,17.8181,0.26,-0.7692307692307693,6,0.0
